currency,CHF,CHF,CHF,CHF,CHF,CHF,EUR,EUR,EUR,EUR,EUR,EUR,GBP,GBP,GBP,GBP,GBP,GBP,JPY,JPY,JPY,JPY,JPY,JPY
coefficient,const,SP500,UST10Y,fxvol,TED,VIX,const,SP500,UST10Y,fxvol,TED,VIX,const,SP500,UST10Y,fxvol,TED,VIX,const,SP500,UST10Y,fxvol,TED,VIX
date,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-23,0.00012869482433890426,0.045964227472988665,-0.022982743350848735,0.00041477465980810347,-0.09587127230957282,0.005018950341998665,2.9926450996520126e-05,0.07708301132768897,-0.01206660668819589,0.00025342610736582945,-0.09066664048872557,0.003948668874271892,0.000105022005684401,0.11052997371255803,-0.008388107062550576,0.00015700003695135703,-0.25636687519788603,0.001018420468430157,-0.00014405485254852447,-0.006339401618609353,-0.0386030769558531,0.0005762385151667641,0.11629011410666101,0.007765928838424179
2019-07-24,0.00012869755466036158,0.0459683849215453,-0.022984024176226678,0.00041479579258941606,-0.0958746536526337,0.005018675310855367,2.992546162591498e-05,0.07708125112965501,-0.012067773389897382,0.00025346729864155187,-0.09066487098612035,0.003948674950099193,0.00010502595448521986,0.11053486125397358,-0.008390466329816845,0.0001569439405371679,-0.2563622091527619,0.001018668328963357,-0.00014407791783765017,-0.006328106110971966,-0.03860303723356684,0.000576259020356563,0.11627898021183136,0.007764545757938776
2019-07-25,0.0001287006546832877,0.04597255808103921,-0.022985307170076005,0.00041481550506048293,-0.09587794089640705,0.005018395961725416,2.992502097846638e-05,0.07707951426531943,-0.0120689433123776,0.0002535067580124951,-0.09066296188900191,0.003948674612883117,0.00010502895780483059,0.11053970810020998,-0.008392819981029755,0.00015689065369842444,-0.25635778005587234,0.001018927373781091,-0.0001441007605623686,-0.006316800434659264,-0.03860299889945936,0.0005762789406967758,0.11626790082775765,0.007763160063184848
2019-07-26,0.0001287048887208163,0.04597667687627281,-0.02298658351240127,0.0004148309829804517,-0.09588095648069897,0.005018132961343088,2.992400843027496e-05,0.07707780483534613,-0.012070116591679416,0.0002535479438453124,-0.09066118972446079,0.0039486660254139175,0.00010503235338791955,0.1105445359000922,-0.008395171302241178,0.00015683625251928078,-0.25635325843602413,0.0010191921461490192,-0.00014412248284936504,-0.006305552506793315,-0.03860295357695737,0.0005762959719588335,0.11625707972041155,0.0077617906133639995
2019-07-29,0.00012871015431987714,0.04598086465897532,-0.022987859854726535,0.00041484274239291305,-0.09588375583824521,0.005017857134272339,2.992403174013873e-05,0.07707616472475647,-0.01207128987098123,0.0002535861682893893,-0.09065920054258646,0.003948644549502643,0.00010503793285200231,0.11054951162552211,-0.0083975226234526,0.00015677570974986245,-0.2563482860942775,0.001019429415929038,-0.00014414409376919447,-0.0062942965715555785,-0.03860290825445538,0.0005763127311273147,0.11624628107580794,0.007760419770896494
2019-07-30,0.00012871510910686808,0.04598505700926504,-0.022989134981680055,0.00041485555516082047,-0.09588662499899786,0.00501757685860822,2.9923589248388843e-05,0.07707453146383185,-0.01207246132757408,0.0002536255998918736,-0.09065731591898163,0.003948616402350934,0.0001050470856564226,0.11055443416431898,-0.008399888094827153,0.0001567047442752952,-0.25634252358842863,0.0010197184850700956,-0.00014416492941414895,-0.006283052885368496,-0.038602866155649854,0.0005763277073409586,0.11623564997352989,0.007759060087933352
2019-07-31,0.0001287199128246352,0.0459892529035687,-0.022990410108633574,0.00041486886692170336,-0.09588953487290382,0.005017293237822729,2.9923019242867358e-05,0.0770729011962461,-0.01207363278416693,0.00025366534893231244,-0.09065546564292454,0.003948585429839543,0.00010505826565565554,0.11055930853562168,-0.008402253566201704,0.0001566278608183127,-0.2563362231601593,0.0010200530170504005,-0.00014418618964399233,-0.006271798490359274,-0.03860282405684433,0.0005763436322035975,0.11622490876433314,0.007757690949899568
2019-08-01,0.00012872487357091012,0.04599343318193254,-0.022991686463647583,0.0004148816688542355,-0.09589240242762953,0.005017015705691759,2.9922984701508846e-05,0.07707121764434313,-0.012074808431364973,0.0002537038176218132,-0.09065347113240037,0.003948575232948888,0.00010506749976460272,0.11056437890288334,-0.008404603626413381,0.00015655675475293772,-0.25633043907990244,0.0010203111326675207,-0.0001442069003578238,-0.006260602848035736,-0.03860278652796073,0.0005763583581813152,0.11621431006024298,0.007756343240157114
2019-08-02,0.0001287317459573404,0.04599745645383576,-0.022993007669302734,0.00041488849519372606,-0.09589518411785686,0.005016790749786531,2.9925109915748414e-05,0.07706935659366548,-0.012076034786063106,0.0002537370790498753,-0.09065137966201119,0.003948624474667583,0.00010507857453426704,0.11056929615284337,-0.008406997419905889,0.0001564804851358417,-0.2563245735954755,0.001020620520512875,-0.0001442268556922068,-0.006249473907011371,-0.0386027678448889,0.0005763715012061502,0.11620374400470976,0.007755016423991219
2019-08-05,0.00012873528472147816,0.046001701118330955,-0.022994302803960386,0.00041490459796845905,-0.09589816545500701,0.0050165788323352995,2.9925867294403073e-05,0.07706758644216738,-0.012077250435919897,0.00025377321263457244,-0.09064937006826507,0.003948679069720706,0.0001050898350708137,0.11057420090728927,-0.008409392684644591,0.00015640374764671036,-0.2563186971568669,0.0010209291724846909,-0.00014425110881184896,-0.006238038099717006,-0.03860271342028691,0.0005763950338219871,0.11619293027411819,0.0077537065129657
